ID,name,cname,population,lon,lat
5424,西藏那曲地区,那曲地区,46.24,92.06701837,31.48067983
6527,新疆博尔塔拉蒙古自治州,博尔塔拉州,44.37,82.05243627,44.91365137
6325,青海省海南州藏族自治州,海南州,44.17,100.6240661,36.2843638
5334,云南省迪庆藏族自治州,迪庆州,40,99.7136816,27.83102946
6502,新疆克拉玛依市,克拉玛依市,39.1,84.88118019,45.59433107
6327,青海省玉树藏族自治州,玉树州,37.84,97.01331614,33.00623991
6322,青海省海北藏族自治州,海北州,27.33,100.8798022,36.9606541
6323,青海省黄南藏族自治州,黄南州,25.67,102.0076003,35.52285155
6202,甘肃省嘉峪关市,嘉峪关市,23.19,98.28163459,39.80239733
1529,内蒙古阿拉善盟,阿拉善盟,23.13,105.6956829,38.84307526
6326,青海省果洛藏族自治州,果洛州,18.17,100.2237228,34.48048458
5425,西藏阿里地区,阿里地区,9.55,81.10766869,30.40455659
